127.0.0.1 - - [12/Apr/2024:19:23:31 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:25:49 +0530] "GET /signupProject/assets/img/portfolio/cake.png HTTP/1.1" 200 17068
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:25:49 +0530] "GET /signupProject/assets/img/portfolio/circus.png HTTP/1.1" 200 27984
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:25:49 +0530] "GET /signupProject/assets/img/portfolio/game.png HTTP/1.1" 200 25896
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:25:49 +0530] "GET /signupProject/js/scripts.js HTTP/1.1" 200 1648
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:25:50 +0530] "GET /signupProject/assets/img/portfolio/safe.png HTTP/1.1" 200 19240
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:25:50 +0530] "GET /signupProject/assets/img/portfolio/submarine.png HTTP/1.1" 200 24330
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:25:52 +0530] "GET /signupProject/assets/favicon.ico HTTP/1.1" 200 23462
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:25:57 +0530] "GET /signupProject/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:25:57 +0530] "GET /signupProject/login.jsp HTTP/1.1" 200 3057
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:25:57 +0530] "GET /signupProject/vendor/jquery/jquery.min.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:25:57 +0530] "GET /signupProject/alert/dist/sweetalert.css HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:26:17 +0530] "GET /signupProject/registration.jsp HTTP/1.1" 200 3865
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:26:17 +0530] "GET /signupProject/vendor/jquery/jquery.min.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:26:17 +0530] "GET /signupProject/alert/dist/sweetalert.css HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:26:24 +0530] "GET /signupProject/login.jsp HTTP/1.1" 200 3057
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:26:24 +0530] "GET /signupProject/alert/dist/sweetalert.css HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:26:24 +0530] "GET /signupProject/vendor/jquery/jquery.min.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:26:35 +0530] "POST /signupProject/login HTTP/1.1" 200 23666
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:26:45 +0530] "GET /signupProject/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:26:45 +0530] "GET /signupProject/login.jsp HTTP/1.1" 200 3057
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:26:45 +0530] "GET /signupProject/vendor/jquery/jquery.min.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:26:45 +0530] "GET /signupProject/alert/dist/sweetalert.css HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:27:10 +0530] "POST /signupProject/login HTTP/1.1" 200 23666
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:27:33 +0530] "GET /signupProject/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:27:33 +0530] "GET /signupProject/login.jsp HTTP/1.1" 200 3057
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:27:33 +0530] "GET /signupProject/alert/dist/sweetalert.css HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:27:33 +0530] "GET /signupProject/vendor/jquery/jquery.min.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:27:37 +0530] "GET /signupProject/registration.jsp HTTP/1.1" 200 3865
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:27:37 +0530] "GET /signupProject/vendor/jquery/jquery.min.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:27:37 +0530] "GET /signupProject/alert/dist/sweetalert.css HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:27:43 +0530] "GET /signupProject/delete.jsp HTTP/1.1" 200 2440
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:27:43 +0530] "GET /signupProject/delete.jsp HTTP/1.1" 200 2440
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:27:43 +0530] "GET /signupProject/vendor/jquery/jquery.min.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:27:43 +0530] "GET /signupProject/alert/dist/sweetalert.css HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:27:53 +0530] "GET /signupProject/delete?username=rapperharry0000%40gmail.com&password=12341234&delete=delete HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:28:54 +0530] "GET /signupProject/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:28:54 +0530] "GET /signupProject/login.jsp HTTP/1.1" 200 3057
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:28:54 +0530] "GET /signupProject/vendor/jquery/jquery.min.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:28:54 +0530] "GET /signupProject/alert/dist/sweetalert.css HTTP/1.1" 404 802
